model,block,spearman_mean,spearman_std,overlap_mean,overlap_std,spearman_helling_per_week,spearman_helling_p
LR,volledig,0.5956766917293234,0.028727817579337987,0.740625,0.05224354790662998,0.00012193967332574298,0.7490645333195114
LR,pre-COVID,0.5935672514619882,0.03892318243964119,0.7833333333333332,0.059408852578600464,0.0002684730401855788,0.8643786517896466
LR,post-COVID,0.5969423558897241,0.02109512114105183,0.7149999999999999,0.023304579984969973,3.646491088677567e-05,0.9167356128491427
XGB,volledig,0.6863095238095237,0.02615783587103869,0.8093749999999998,0.019722138980279136,-0.0014870273817413737,1.0638309563155379e-11
XGB,pre-COVID,0.7097744360902256,0.019222949043443037,0.8083333333333333,0.019174124721184235,-0.0024084980252488952,9.500754301283138e-05
XGB,post-COVID,0.6722305764411025,0.018587825948689046,0.8100000000000003,0.020341905108624284,-0.0010655113869211495,0.003288558961572353
MLP,volledig,0.5976817042606516,0.032743506684120266,0.671875,0.057340203489089664,-0.0013129327878967875,0.002235266216094521
MLP,pre-COVID,0.6217209690893901,0.02887117710838741,0.6499999999999999,0.05940885257860043,-0.003823800988539485,0.005434891561729414
MLP,post-COVID,0.5832581453634086,0.025982131099812344,0.6849999999999999,0.0527681983643623,6.35626887017255e-05,0.8932386899695622
