model,week,spearman,pearson,overlap
LR,44,0.6466165413533834,0.4652249903277464,0.8
LR,45,0.5729323308270676,0.4325136558803776,0.85
LR,46,0.6421052631578947,0.4458240888595159,0.85
LR,47,0.5669172932330826,0.42336192061907474,0.85
LR,48,0.6451127819548872,0.5079297649527873,0.85
LR,49,0.6090225563909774,0.4424287836462508,0.8
LR,50,0.5413533834586466,0.4911545202369776,0.8
LR,51,0.5428571428571428,0.4485551779202265,0.8
LR,52,0.5428571428571428,0.4059028981423352,0.8
LR,53,0.5473684210526315,0.414426545090295,0.85
LR,54,0.5368421052631579,0.4194481588317714,0.8
LR,55,0.5984962406015037,0.49435044837174136,0.75
LR,56,0.6330827067669172,0.49919304533740305,0.65
LR,57,0.6045112781954887,0.5057362784268151,0.7
LR,58,0.613533834586466,0.5383989953572307,0.75
LR,59,0.6120300751879698,0.5014888698181038,0.75
LR,60,0.6180451127819548,0.5473818768892539,0.7
LR,61,0.6105263157894737,0.47344004775769355,0.75
LR,62,0.5624060150375939,0.4887696285390775,0.7
LR,63,0.6045112781954887,0.5026695092446491,0.7
LR,64,0.613533834586466,0.5279901858445136,0.7
LR,65,0.6060150375939849,0.4967518013619973,0.75
LR,66,0.6210526315789473,0.4913104758843058,0.75
LR,67,0.5924812030075187,0.5146740205372057,0.75
LR,68,0.5984962406015037,0.5019343300489634,0.7
LR,69,0.6090225563909774,0.5176934877622,0.7
LR,70,0.6225563909774435,0.5361338944410368,0.75
LR,71,0.6075187969924812,0.5280096375557488,0.7
LR,72,0.5488721804511278,0.5137823922215855,0.7
LR,73,0.5954887218045113,0.5179147184227405,0.75
LR,74,0.5894736842105263,0.49936904715458297,0.7
LR,75,0.5699248120300752,0.49957642764772364,0.7
LR,76,0.5714285714285714,0.5050964382586979,0.7
LR,77,0.6210526315789473,0.4937466068073621,0.7
LR,78,0.5849624060150376,0.5106225683517498,0.7
LR,79,0.6045112781954887,0.5188820549817349,0.7
LR,80,0.6300751879699248,0.5226203129452872,0.7
LR,81,0.6060150375939849,0.49898690819638253,0.7
LR,82,0.5533834586466165,0.5301699629352842,0.7
LR,83,0.5849624060150376,0.4932341280826866,0.7
LR,84,0.58796992481203,0.4714981800772959,0.75
LR,85,0.6120300751879698,0.4923904952610773,0.75
LR,86,0.6165413533834586,0.5534703849622131,0.7
LR,87,0.5774436090225563,0.4836163921526954,0.75
LR,88,0.6,0.5104931545221884,0.75
LR,89,0.6270676691729322,0.5214220095872466,0.7
LR,90,0.5984962406015037,0.534242921013464,0.7
LR,91,0.5909774436090225,0.5040448018966271,0.7
XGB,44,0.7338345864661654,0.6236771070332928,0.8
XGB,45,0.7233082706766917,0.6247695838975752,0.8
XGB,46,0.7263157894736841,0.6380012198207214,0.8
XGB,47,0.6917293233082705,0.5545362676691887,0.8
XGB,48,0.7278195488721804,0.6361980505906609,0.85
XGB,49,0.7187969924812029,0.5938603051149436,0.8
XGB,50,0.7203007518796991,0.6001049793263101,0.8
XGB,51,0.724812030075188,0.5789404885459084,0.85
XGB,52,0.7172932330827068,0.5659377435556209,0.8
XGB,53,0.7172932330827068,0.6276868585762722,0.8
XGB,54,0.7157894736842104,0.6258619508042564,0.85
