model,block,spearman_mean,spearman_std,pearson_mean,pearson_std,cov_mean,overlap_mean,overlap_std
LR,volledig,0.5956766917293234,0.028727817579337987,0.4945391029825817,0.0352186452928938,0.048253150075608486,0.740625,0.05224354790662998
LR,pre-COVID,0.5935672514619882,0.03892318243964119,0.46982000369253335,0.04300315853232721,0.04516746818890367,0.7833333333333332,0.059408852578600464
LR,post-COVID,0.5969423558897241,0.02109512114105183,0.5093705625566108,0.017870411388843727,0.03495023150051136,0.7149999999999999,0.023304579984969973
XGB,volledig,0.6863095238095237,0.02615783587103869,0.611820668399195,0.02465873993143312,0.06462156209379148,0.8093749999999998,0.019722138980279136
XGB,pre-COVID,0.7097744360902256,0.019222949043443037,0.6033117974082022,0.02636788812851009,0.04967565884061421,0.8083333333333333,0.019174124721184235
XGB,post-COVID,0.6722305764411025,0.018587825948689046,0.6169259909937905,0.022494331061796848,0.0497189504680485,0.8100000000000003,0.020341905108624284
MLP,volledig,0.5976817042606516,0.032743506684120266,0.6001542593428831,0.026488526811194908,0.06617879822029366,0.671875,0.057340203489089664
MLP,pre-COVID,0.6217209690893901,0.02887117710838741,0.6025211711768276,0.028455185372867568,0.055744998963142944,0.6499999999999999,0.05940885257860043
MLP,post-COVID,0.5832581453634086,0.025982131099812344,0.5987341122425164,0.025630647254787236,0.055381397878394446,0.6849999999999999,0.0527681983643623
